A1BG	alpha-1-B_glycoprotein
EXOSC3P2	exosome_component_3_pseudogene_2
EXOSC4	exosome_component_4
EXOSC5	exosome_component_5
EXOSC6	exosome_component_6
EXOSC7	exosome_component_7
EXOSC8	exosome_component_8
EXOSC9	exosome_component_9
EXOSC10	exosome_component_10
EXPH5	exophilin_5
EXT1	exostosin_glycosyltransferase_1
EXT2	exostosin_glycosyltransferase_2
EXT3	exostoses_(multiple)_3
EXTL1	exostosin-like_glycosyltransferase_1
EXTL2	exostosin-like_glycosyltransferase_2
EXTL2P1	exostoses_(multiple)-like_2_pseudogene_1
EXTL3	exostosin_like_glycosyltransferase_3
EXTL3-AS1	EXTL3_antisense_RNA_1
EYA1	EYA_transcriptional_coactivator_and_phosphatase_1
EYA2	EYA_transcriptional_coactivator_and_phosphatase_2
EYA3	EYA_transcriptional_coactivator_and_phosphatase_3
EYA4	EYA_transcriptional_coactivator_and_phosphatase_4
EYCL1	eye_color_1_(green/blue)
EYS	eyes_shut_homolog_(Drosophila)
EZH1	enhancer_of_zeste_1_polycomb_repressive_complex_2_subunit
EZH2	enhancer_of_zeste_2_polycomb_repressive_complex_2_subunit
EZH2P1	enhancer_of_zeste_2_polycomb_repressive_complex_2_subunit_pseudogene_1
EZR	ezrin
EZR-AS1	EZR_antisense_RNA_1
F2	coagulation_factor_II,_thrombin
F2R	coagulation_factor_II_thrombin_receptor
F2RL1	F2R_like_trypsin_receptor_1
F2RL2	coagulation_factor_II_thrombin_receptor_like_2
F2RL3	F2R_like_thrombin/trypsin_receptor_3
F3	coagulation_factor_III,_tissue_factor
F5	coagulation_factor_V
F7	coagulation_factor_VII
F7R	coagulation_factor_VII_regulator
F8	coagulation_factor_VIII
F8A1	coagulation_factor_VIII-associated_1
F8A2	coagulation_factor_VIII-associated_2
F8A3	coagulation_factor_VIII-associated_3
F9	coagulation_factor_IX
F10	coagulation_factor_X
F10-AS1	F10_antisense_RNA_1
F11	coagulation_factor_XI
F11-AS1	F11_antisense_RNA_1
F11R	F11_receptor
F12	coagulation_factor_XII
F13A1	coagulation_factor_XIII_A_chain
F13B	coagulation_factor_XIII_B_chain
FA2H	fatty_acid_2-hydroxylase
FAAH	fatty_acid_amide_hydrolase
FAAH2	fatty_acid_amide_hydrolase_2
FAAHP1	fatty_acid_amide_hydrolase_pseudogene_1
FAAP20	Fanconi_anemia_core_complex_associated_protein_20
FAAP24	Fanconi_anemia_core_complex_associated_protein_24
FAAP100	Fanconi_anemia_core_complex_associated_protein_100
FABP1	fatty_acid_binding_protein_1
FABP2	fatty_acid_binding_protein_2
FABP3	fatty_acid_binding_protein_3
FABP3P2	fatty_acid_binding_protein_3_pseudogene_2
FABP4	fatty_acid_binding_protein_4
FABP5	fatty_acid_binding_protein_5
FABP5P1	fatty_acid_binding_protein_5_pseudogene_1
FABP5P2	fatty_acid_binding_protein_5_pseudogene_2
FABP5P3	fatty_acid_binding_protein_5_pseudogene_3
FABP5P4	fatty_acid_binding_protein_5_pseudogene_4
FABP5P5	fatty_acid_binding_protein_5_pseudogene_5
FABP5P6	fatty_acid_binding_protein_5_pseudogene_6
FABP5P7	fatty_acid_binding_protein_5_pseudogene_7
FABP5P8	fatty_acid_binding_protein_5_pseudogene_8
FABP5P9	fatty_acid_binding_protein_5_pseudogene_9
FABP5P10	fatty_acid_binding_protein_5_pseudogene_10
FABP5P11	fatty_acid_binding_protein_5_pseudogene_11
FABP5P12	fatty_acid_binding_protein_5_pseudogene_12
FABP5P13	fatty_acid_binding_protein_5_pseudogene_13
FABP5P14	fatty_acid_binding_protein_5_pseudogene_14
FABP5P15	fatty_acid_binding_protein_5_pseudogene_15
FABP6	fatty_acid_binding_protein_6
FABP7	fatty_acid_binding_protein_7
FABP7P1	fatty_acid_binding_protein_7_pseudogene_1
FABP7P2	fatty_acid_binding_protein_7_pseudogene_2
FABP9	fatty_acid_binding_protein_9
FABP12	fatty_acid_binding_protein_12
FABP12P1	fatty_acid_binding_protein_12_pseudogene_1
FADD	Fas_associated_via_death_domain
FADS1	fatty_acid_desaturase_1
FADS2	fatty_acid_desaturase_2
FADS2P1	fatty_acid_desaturase_2_pseudogene_1
FADS3	fatty_acid_desaturase_3
FADS6	fatty_acid_desaturase_6
FAF1	Fas_associated_factor_1
FAF2	Fas_associated_factor_family_member_2
FAF2P1	Fas_associated_factor_family_member_2_pseudogene_1
FAH	fumarylacetoacetate_hydrolase_(fumarylacetoacetase)
FAHD1	fumarylacetoacetate_hydrolase_domain_containing_1
FAHD2A	fumarylacetoacetate_hydrolase_domain_containing_2A
FAHD2B	fumarylacetoacetate_hydrolase_domain_containing_2B
FAHD2CP	fumarylacetoacetate_hydrolase_domain_containing_2C,_pseudogene
FAHD2P1	fumarylacetoacetate_hydrolase_domain_containing_2_pseudogene_1
FAIM	Fas_apoptotic_inhibitory_molecule
FAIM2	Fas_apoptotic_inhibitory_molecule_2
FALEC	focally_amplified_long_non-coding_RNA_in_epithelial_cancer
FAM3A	family_with_sequence_similarity_3_member_A
FAM3B	family_with_sequence_similarity_3_member_B
FAM3C	family_with_sequence_similarity_3_member_C
FAM3C2	family_with_sequence_similarity_3_member_C2_(pseudogene)
FAM3D	family_with_sequence_similarity_3_member_D
FAM3D-AS1	FAM3D_antisense_RNA_1
FAM8A1	family_with_sequence_similarity_8_member_A1
FAM8A2P	family_with_sequence_similarity_8_member_A2,_pseudogene
FAM8A3P	family_with_sequence_similarity_8_member_A3,_pseudogene
FAM8A4P	family_with_sequence_similarity_8_member_A4,_pseudogene
FAM8A5P	family_with_sequence_similarity_8_member_A5,_pseudogene
FAM8A6P	family_with_sequence_similarity_8_member_A6,_pseudogene
FAM8A7P	family_with_sequence_similarity_8_member_A7,_pseudogene
FAM8A9P	family_with_sequence_similarity_8_member_A9,_pseudogene
FAM8A10P	family_with_sequence_similarity_8_member_A10,_pseudogene
FAM9A	family_with_sequence_similarity_9_member_A
FAM9B	family_with_sequence_similarity_9_member_B
FAM9C	family_with_sequence_similarity_9_member_C
FAM13A	family_with_sequence_similarity_13_member_A
FAM13A-AS1	FAM13A_antisense_RNA_1
FAM13B	family_with_sequence_similarity_13_member_B
FAM13C	family_with_sequence_similarity_13_member_C
FAM19A1	family_with_sequence_similarity_19_(chemokine_(C-C_motif)-like),_member_A1
FAM19A2	family_with_sequence_similarity_19_(chemokine_(C-C_motif)-like),_member_A2
FAM19A3	family_with_sequence_similarity_19_(chemokine_(C-C_motif)-like),_member_A3
FAM19A4	family_with_sequence_similarity_19_(chemokine_(C-C_motif)-like),_member_A4
FAM19A5	family_with_sequence_similarity_19_(chemokine_(C-C_motif)-like),_member_A5
FAM20A	family_with_sequence_similarity_20_member_A
FAM20B	family_with_sequence_similarity_20_member_B
FAM20C	family_with_sequence_similarity_20_member_C
FAM21A	family_with_sequence_similarity_21_member_A
FAM21C	family_with_sequence_similarity_21_member_C
FAM21D	family_with_sequence_similarity_21_member_D
FAM21EP	family_with_sequence_similarity_21_member_E,_pseudogene
FAM21FP	family_with_sequence_similarity_21_member_F,_pseudogene
FAM24A	family_with_sequence_similarity_24_member_A
FAM24B	family_with_sequence_similarity_24_member_B
FAM25A	family_with_sequence_similarity_25_member_A
FAM25BP	family_with_sequence_similarity_25_member_B,_pseudogene
FAM25C	family_with_sequence_similarity_25_member_C
FAM25D	family_with_sequence_similarity_25_member_D
FAM25E	family_with_sequence_similarity_25_member_E
FAM25G	family_with_sequence_similarity_25_member_G
FAM26D	family_with_sequence_similarity_26_member_D
FAM26E	family_with_sequence_similarity_26_member_E
FAM26F	family_with_sequence_similarity_26_member_F
FAM27B	family_with_sequence_similarity_27_member_B
FAM27C	family_with_sequence_similarity_27_member_C
FAM27D1	family_with_sequence_similarity_27_member_D1
FAM27E2	family_with_sequence_similarity_27_member_E2
FAM27E3	family_with_sequence_similarity_27_member_E3
FAM27E4	family_with_sequence_similarity_27_member_E4
FAM27E5	family_with_sequence_similarity_E5
FAM32A	family_with_sequence_similarity_32_member_A
FAM32BP	family_with_sequence_similarity_32_member_B,_pseudogene
FAM32CP	family_with_sequence_similarity_32_member_C,_pseudogene
FAM32DP	family_with_sequence_similarity_32_member_D,_pseudogene
FAM32EP	family_with_sequence_similarity_32_member_E,_pseudogene
FAM35A	family_with_sequence_similarity_35_member_A
FAM35BP	family_with_sequence_similarity_35_member_B,_pseudogene
FAM35CP	family_with_sequence_similarity_35_member_C,_pseudogene
FAM35DP	family_with_sequence_similarity_35_member_D,_pseudogene
FAM41AY1	family_with_sequence_similarity_41_member_A,_Y-linked_1
FAM41AY2	family_with_sequence_similarity_41_member_A,_Y-linked_2
FAM41C	family_with_sequence_similarity_41_member_C
FAM43A	family_with_sequence_similarity_43_member_A
FAM43B	family_with_sequence_similarity_43_member_B
FAM45A	family_with_sequence_similarity_45_member_A
FAM45BP	family_with_sequence_similarity_45_member_B,_pseudogene
FAM46A	family_with_sequence_similarity_46_member_A
FAM46B	family_with_sequence_similarity_46_member_B
FAM46C	family_with_sequence_similarity_46_member_C
FAM46D	family_with_sequence_similarity_46_member_D
FAM47A	family_with_sequence_similarity_47_member_A
FAM47B	family_with_sequence_similarity_47_member_B
FAM47C	family_with_sequence_similarity_47_member_C
FAM47DP	family_with_sequence_similarity_47_member_D,_pseudogene
FAM47E	family_with_sequence_similarity_47_member_E
FAM47E-STBD1	FAM47E-STBD1_readthrough
FAM49A	family_with_sequence_similarity_49_member_A
FAM49B	family_with_sequence_similarity_49_member_B
FAM50A	family_with_sequence_similarity_50_member_A
FAM50B	family_with_sequence_similarity_50_member_B
FAM53A	family_with_sequence_similarity_53_member_A
FAM53B	family_with_sequence_similarity_53_member_B
FAM53B-AS1	FAM53B_antisense_RNA_1
FAM53C	family_with_sequence_similarity_53_member_C
FAM57A	family_with_sequence_similarity_57_member_A
FAM57B	family_with_sequence_similarity_57_member_B
FAM58A	family_with_sequence_similarity_58_member_A
FAM58BP	family_with_sequence_similarity_58_member_B,_pseudogene
FAM58CP	family_with_sequence_similarity_58_member_C,_pseudogene
FAM58DP	family_with_sequence_similarity_58_member_D,_pseudogene
FAM60A	family_with_sequence_similarity_60_member_A
FAM60BP	family_with_sequence_similarity_60_member_B,_pseudogene
FAM60CP	family_with_sequence_similarity_60_member_C,_pseudogene
FAM60DP	family_with_sequence_similarity_60_member_D,_pseudogene
FAM63A	family_with_sequence_similarity_63_member_A
FAM63B	family_with_sequence_similarity_63_member_B
FAM64A	family_with_sequence_similarity_64_member_A
FAM65A	family_with_sequence_similarity_65_member_A
FAM65B	family_with_sequence_similarity_65_member_B
FAM65C	family_with_sequence_similarity_65_member_C
FAM66A	family_with_sequence_similarity_66_member_A
FAM66B	family_with_sequence_similarity_66_member_B
FAM66C	family_with_sequence_similarity_66_member_C
FAM66D	family_with_sequence_similarity_66_member_D
FAM66E	family_with_sequence_similarity_66_member_E
FAM69A	family_with_sequence_similarity_69_member_A
FAM69B	family_with_sequence_similarity_69_member_B
FAM69C	family_with_sequence_similarity_69_member_C
FAM71A	family_with_sequence_similarity_71_member_A
FAM71B	family_with_sequence_similarity_71_member_B
FAM71BP1	family_with_sequence_similarity_71_member_B_pseudogene_1
FAM71C	family_with_sequence_similarity_71_member_C
FAM71D	family_with_sequence_similarity_71_member_D
FAM71E1	family_with_sequence_similarity_71_member_E1
FAM71E2	family_with_sequence_similarity_71_member_E2
FAM71F1	family_with_sequence_similarity_71_member_F1
FAM71F2	family_with_sequence_similarity_71_member_F2
FAM72A	family_with_sequence_similarity_72_member_A
FAM72B	family_with_sequence_similarity_72_member_B
FAM72C	family_with_sequence_similarity_72_member_C
FAM72D	family_with_sequence_similarity_72_member_D
FAM73A	family_with_sequence_similarity_73_member_A
FAM73B	family_with_sequence_similarity_73_member_B
FAM74A1	family_with_sequence_similarity_74_member_A1
FAM74A2	family_with_sequence_similarity_74_member_A2
FAM74A3	family_with_sequence_similarity_74_member_A3
FAM74A4	family_with_sequence_similarity_74_member_A4
FAM74A6	family_with_sequence_similarity_74_member_A6
FAM74A7	family_with_sequence_similarity_74_member_A7
FAM76A	family_with_sequence_similarity_76_member_A
FAM76B	family_with_sequence_similarity_76_member_B
FAM78A	family_with_sequence_similarity_78_member_A
FAM78B	family_with_sequence_similarity_78_member_B
FAM81A	family_with_sequence_similarity_81_member_A
FAM81B	family_with_sequence_similarity_81_member_B
FAM83A	family_with_sequence_similarity_83_member_A
FAM83A-AS1	FAM83A_antisense_RNA_1
FAM83B	family_with_sequence_similarity_83_member_B
FAM83C	family_with_sequence_similarity_83_member_C
FAM83C-AS1	FAM83C_antisense_RNA_1
FAM83D	family_with_sequence_similarity_83_member_D
FAM83E	family_with_sequence_similarity_83_member_E
FAM83F	family_with_sequence_similarity_83_member_F
FAM83G	family_with_sequence_similarity_83_member_G
FAM83H	family_with_sequence_similarity_83_member_H
FAM83H-AS1	FAM83H_antisense_RNA_1_(head_to_head)
FAM84A	family_with_sequence_similarity_84_member_A
FAM84B	family_with_sequence_similarity_84_member_B
FAM85A	family_with_sequence_similarity_85_member_A
FAM85B	family_with_sequence_similarity_85_member_B
FAM86B1	family_with_sequence_similarity_86_member_B1
FAM86B2	family_with_sequence_similarity_86_member_B2
FAM86B3P	family_with_sequence_similarity_86_member_B3,_pseudogene
FAM86C1	family_with_sequence_similarity_86_member_C1
FAM86C2P	family_with_sequence_similarity_86_member_C2,_pseudogene
FAM86DP	family_with_sequence_similarity_86_member_D,_pseudogene
FAM86EP	family_with_sequence_similarity_86_member_E,_pseudogene
FAM86FP	family_with_sequence_similarity_86_member_F,_pseudogene
FAM86GP	family_with_sequence_similarity_86_member_G,_pseudogene
FAM86HP	family_with_sequence_similarity_86_member_H,_pseudogene
FAM86JP	family_with_sequence_similarity_86_member_J,_pseudogene
FAM86KP	family_with_sequence_similarity_86_member_K,_pseudogene
FAM86LP	family_with_sequence_similarity_86_member_L,_pseudogene
FAM86MP	family_with_sequence_similarity_86_member_M,_pseudogene
FAM87A	family_with_sequence_similarity_87_member_A
FAM87B	family_with_sequence_similarity_87_member_B
FAM89A	family_with_sequence_similarity_89_member_A
FAM89B	family_with_sequence_similarity_89_member_B
FAM90A1	family_with_sequence_similarity_90_member_A1
FAM90A2P	family_with_sequence_similarity_90_member_A2,_pseudogene
FAM90A3P	family_with_sequence_similarity_90_member_A3,_pseudogene
FAM90A4P	family_with_sequence_similarity_90_member_A4,_pseudogene
FAM90A5P	family_with_sequence_similarity_90_member_A5,_pseudogene
FAM90A6P	family_with_sequence_similarity_90_member_A6,_pseudogene
FAM90A7P	family_with_sequence_similarity_90_member_A7,_pseudogene
FAM90A8P	family_with_sequence_similarity_90_member_A8,_pseudogene
FAM90A9P	family_with_sequence_similarity_90_member_A9,_pseudogene
FAM90A10P	family_with_sequence_similarity_90_member_A10,_pseudogene
FAM90A11P	family_with_sequence_similarity_90_member_A11,_pseudogene
FAM90A12P	family_with_sequence_similarity_90_member_A12,_pseudogene
FAM90A13P	family_with_sequence_similarity_90_member_A13,_pseudogene
FAM90A14P	family_with_sequence_similarity_90_member_A14,_pseudogene
FAM90A15P	family_with_sequence_similarity_90_member_A15,_pseudogene
FAM90A16P	family_with_sequence_similarity_90_member_A16,_pseudogene
FAM90A17P	family_with_sequence_similarity_90_member_A17,_pseudogene
FAM90A18P	family_with_sequence_similarity_90_member_A18,_pseudogene
FAM90A19P	family_with_sequence_similarity_90_member_A19,_pseudogene
FAM90A20P	family_with_sequence_similarity_90_member_A20,_pseudogene
FAM90A21P	family_with_sequence_similarity_90_member_A21,_pseudogene
FAM90A22P	family_with_sequence_similarity_90_member_A22,_pseudogene
FAM90A23P	family_with_sequence_similarity_90_member_A23,_pseudogene
FAM90A24P	family_with_sequence_similarity_90_member_A24,_pseudogene
FAM90A25P	family_with_sequence_similarity_90_member_A25,_pseudogene
FAM90A26	family_with_sequence_similarity_90_member_A26
FAM90A27P	family_with_sequence_similarity_90_member_A27,_pseudogene
FAM90A28P	family_with_sequence_similarity_90_member_A28,_pseudogene
FAM91A1	family_with_sequence_similarity_91_member_A1
FAM91A2P	family_with_sequence_similarity_91_member_A2,_pseudogene
FAM91A3P	family_with_sequence_similarity_91_member_A3,_pseudogene
FAM91A4P	family_with_sequence_similarity_91_member_A4,_pseudogene
FAM92A1	family_with_sequence_similarity_92_member_A1
FAM92A1P1	family_with_sequence_similarity_92_member_A1_pseudogene_1
FAM92A1P2	family_with_sequence_similarity_92_member_A1_pseudogene_2
FAM92B	family_with_sequence_similarity_92_member_B
FAM95A	family_with_sequence_similarity_95_member_A
FAM95B1	family_with_sequence_similarity_95_member_B1
FAM95C	family_with_sequence_similarity_95_member_C
FAM96A	family_with_sequence_similarity_96_member_A
FAM96AP1	family_with_sequence_similarity_96_member_A_pseudogene_1
FAM96AP2	family_with_sequence_similarity_96_member_A_pseudogene_2
FAM96B	family_with_sequence_similarity_96_member_B
FAM98A	family_with_sequence_similarity_98_member_A
FAM98B	family_with_sequence_similarity_98_member_B
FAM98C	family_with_sequence_similarity_98_member_C
FAM99A	family_with_sequence_similarity_99_member_A_(non-protein_coding)
FAM99B	family_with_sequence_similarity_99_member_B_(non-protein_coding)
FAM101A	family_with_sequence_similarity_101_member_A
FAM101B	family_with_sequence_similarity_101_member_B
FAM102A	family_with_sequence_similarity_102_member_A
FAM102B	family_with_sequence_similarity_102_member_B
FAM103A1	family_with_sequence_similarity_103_member_A1
FAM103A2P	family_with_sequence_similarity_103_member_A2,_pseudogene
FAM104A	family_with_sequence_similarity_104_member_A
FAM104B	family_with_sequence_similarity_104_member_B
FAM105A	family_with_sequence_similarity_105_member_A
FAM106A	family_with_sequence_similarity_106_member_A
FAM106B	family_with_sequence_similarity_106_member_B
FAM106CP	family_with_sequence_similarity_106_member_C,_pseudogene
FAM106DP	family_with_sequence_similarity_106_member_D,_pseudogene
FAM107A	family_with_sequence_similarity_107_member_A
FAM107B	family_with_sequence_similarity_107_member_B
FAM109A	family_with_sequence_similarity_109_member_A
FAM109B	family_with_sequence_similarity_109_member_B
FAM110A	family_with_sequence_similarity_110_member_A
FAM110B	family_with_sequence_similarity_110_member_B
FAM110C	family_with_sequence_similarity_110_member_C
FAM110D	family_with_sequence_similarity_110_member_D
FAM111A	family_with_sequence_similarity_111_member_A
FAM111B	family_with_sequence_similarity_111_member_B
FAM114A1	family_with_sequence_similarity_114_member_A1
FAM114A2	family_with_sequence_similarity_114_member_A2
FAM117A	family_with_sequence_similarity_117_member_A
FAM117B	family_with_sequence_similarity_117_member_B
FAM118A	family_with_sequence_similarity_118_member_A
FAM118B	family_with_sequence_similarity_118_member_B
FAM120A	family_with_sequence_similarity_120A
FAM120AOS	family_with_sequence_similarity_120A_opposite_strand
FAM120B	family_with_sequence_similarity_120B
FAM120C	family_with_sequence_similarity_120C
FAM122A	family_with_sequence_similarity_122A
FAM122B	family_with_sequence_similarity_122B
FAM122C	family_with_sequence_similarity_122C
FAM124A	family_with_sequence_similarity_124_member_A
FAM124B	family_with_sequence_similarity_124_member_B
FAM126A	family_with_sequence_similarity_126_member_A
FAM126B	family_with_sequence_similarity_126_member_B
FAM127A	family_with_sequence_similarity_127_member_A
FAM127B	family_with_sequence_similarity_127_member_B
FAM127C	family_with_sequence_similarity_127_member_C
FAM129A	family_with_sequence_similarity_129_member_A
FAM129B	family_with_sequence_similarity_129_member_B
FAM129C	family_with_sequence_similarity_129_member_C
FAM131A	family_with_sequence_similarity_131_member_A
FAM131B	family_with_sequence_similarity_131_member_B
FAM131C	family_with_sequence_similarity_131_member_C
FAM132A	family_with_sequence_similarity_132_member_A
FAM132B	family_with_sequence_similarity_132_member_B
FAM133A	family_with_sequence_similarity_133_member_A
FAM133B	family_with_sequence_similarity_133_member_B
FAM133CP	family_with_sequence_similarity_133_member_C,_pseudogene
FAM133DP	family_with_sequence_similarity_133_member_D,_pseudogene
FAM134A	family_with_sequence_similarity_134_member_A
FAM134B	family_with_sequence_similarity_134_member_B
FAM134C	family_with_sequence_similarity_134_member_C
FAM135A	family_with_sequence_similarity_135_member_A
FAM135B	family_with_sequence_similarity_135_member_B
FAM136A	family_with_sequence_similarity_136_member_A
FAM136BP	family_with_sequence_similarity_136_member_B,_pseudogene
FAM138A	family_with_sequence_similarity_138_member_A
FAM138B	family_with_sequence_similarity_138_member_B
FAM138C	family_with_sequence_similarity_138_member_C
FAM138D	family_with_sequence_similarity_138_member_D
FAM138E	family_with_sequence_similarity_138_member_E
FAM138F	family_with_sequence_similarity_138_member_F
FAM149A	family_with_sequence_similarity_149_member_A
FAM149B1	family_with_sequence_similarity_149_member_B1
FAM149B1P1	family_with_sequence_similarity_149_member_B1_pseudogene_1
FAM150A	family_with_sequence_similarity_150_member_A
FAM150B	family_with_sequence_similarity_150_member_B
FAM151A	family_with_sequence_similarity_151_member_A
FAM151B	family_with_sequence_similarity_151_member_B
FAM153A	family_with_sequence_similarity_153_member_A
FAM153B	family_with_sequence_similarity_153_member_B
FAM153C	family_with_sequence_similarity_153_member_C
FAM155A	family_with_sequence_similarity_155_member_A
FAM155A-IT1	FAM155A_intronic_transcript_1
FAM155B	family_with_sequence_similarity_155_member_B
FAM156A	family_with_sequence_similarity_156_member_A
FAM156B	family_with_sequence_similarity_156_member_B
FAM157A	family_with_sequence_similarity_157_member_A
FAM157B	family_with_sequence_similarity_157_member_B
FAM157C	family_with_sequence_similarity_157_member_C
FAM159A	family_with_sequence_similarity_159_member_A
FAM159B	family_with_sequence_similarity_159_member_B
FAM160A1	family_with_sequence_similarity_160_member_A1
FAM160A2	family_with_sequence_similarity_160_member_A2
FAM160B1	family_with_sequence_similarity_160_member_B1
FAM160B2	family_with_sequence_similarity_160_member_B2
FAM161A	family_with_sequence_similarity_161_member_A
FAM161B	family_with_sequence_similarity_161_member_B
FAM162A	family_with_sequence_similarity_162_member_A
FAM162B	family_with_sequence_similarity_162_member_B
FAM163A	family_with_sequence_similarity_163_member_A
FAM163B	family_with_sequence_similarity_163_member_B
FAM166A	family_with_sequence_similarity_166_member_A
FAM166B	family_with_sequence_similarity_166_member_B
FAM167A	family_with_sequence_similarity_167_member_A
FAM167A-AS1	FAM167A_antisense_RNA_1
FAM167B	family_with_sequence_similarity_167_member_B
FAM168A	family_with_sequence_similarity_168_member_A
FAM168B	family_with_sequence_similarity_168_member_B
FAM169A	family_with_sequence_similarity_169_member_A
FAM169B	family_with_sequence_similarity_169_member_B
FAM170A	family_with_sequence_similarity_170_member_A
FAM170B	family_with_sequence_similarity_170_member_B
FAM170B-AS1	FAM170B_antisense_RNA_1
FAM171A1	family_with_sequence_similarity_171_member_A1
FAM171A2	family_with_sequence_similarity_171_member_A2
FAM171B	family_with_sequence_similarity_171_member_B
FAM172A	family_with_sequence_similarity_172_member_A
FAM172BP	family_with_sequence_similarity_172_member_B,_pseudogene
FAM173A	family_with_sequence_similarity_173_member_A
FAM173B	family_with_sequence_similarity_173_member_B
FAM174A	family_with_sequence_similarity_174_member_A
FAM174B	family_with_sequence_similarity_174_member_B
FAM175A	family_with_sequence_similarity_175_member_A
FAM175B	family_with_sequence_similarity_175_member_B
FAM177A1	family_with_sequence_similarity_177_member_A1
FAM177A1P1	family_with_sequence_similarity_177_member_A1_pseudogene_1
FAM177B	family_with_sequence_similarity_177_member_B
FAM178B	family_with_sequence_similarity_178_member_B
FAM179A	family_with_sequence_similarity_179_member_A
FAM179B	family_with_sequence_similarity_179_member_B
FAM180A	family_with_sequence_similarity_180_member_A
FAM180B	family_with_sequence_similarity_180_member_B
FAM181A	family_with_sequence_similarity_181_member_A
FAM181A-AS1	FAM181A_antisense_RNA_1
FAM181B	family_with_sequence_similarity_181_member_B
FAM182A	family_with_sequence_similarity_182_member_A
FAM182B	family_with_sequence_similarity_182_member_B
FAM183A	family_with_sequence_similarity_183_member_A
FAM183BP	family_with_sequence_similarity_183_member_B,_pseudogene
FAM183CP	family_with_sequence_similarity_183_member_C,_pseudogene
FAM183DP	family_with_sequence_similarity_183_member_D,_pseudogene
FAM183EP	family_with_sequence_similarity_183_member_E,_pseudogene
FAM184A	family_with_sequence_similarity_184_member_A
FAM184B	family_with_sequence_similarity_184_member_B
FAM185A	family_with_sequence_similarity_185_member_A
FAM185BP	family_with_sequence_similarity_185_member_B,_pseudogene
FAM186A	family_with_sequence_similarity_186_member_A
FAM186B	family_with_sequence_similarity_186_member_B
FAM187A	family_with_sequence_similarity_187_member_A
FAM187B	family_with_sequence_similarity_187_member_B
FAM187B2P	family_with_sequence_similarity_187_member_B2,_pseudogene
FAM188A	family_with_sequence_similarity_188_member_A
FAM188B	family_with_sequence_similarity_188_member_B
FAM188B2	family_with_sequence_similarity_188_member_B2
FAM189A1	family_with_sequence_similarity_189_member_A1
FAM189A2	family_with_sequence_similarity_189_member_A2
FAM189B	family_with_sequence_similarity_189_member_B
FAM192A	family_with_sequence_similarity_192_member_A
FAM192BP	family_with_sequence_similarity_192_member_B,_pseudogene
FAM193A	family_with_sequence_similarity_193_member_A
FAM193B	family_with_sequence_similarity_193_member_B
FAM196A	family_with_sequence_similarity_196_member_A
FAM196B	family_with_sequence_similarity_196_member_B
FAM197Y1P	family_with_sequence_similarity_197_Y-linked_member_1,_pseudogene
FAM197Y2P	family_with_sequence_similarity_197_Y-linked_member_2,_pseudogene
FAM197Y3	family_with_sequence_similarity_197_Y-linked_member_3
FAM197Y4P	family_with_sequence_similarity_197_Y-linked_member_4,_pseudogene
FAM197Y5P	family_with_sequence_similarity_197_Y-linked_member_5,_pseudogene
FAM197Y6	family_with_sequence_similarity_197_Y-linked_member_6
FAM197Y7P	family_with_sequence_similarity_197_Y-linked_member_7,_pseudogene
FAM197Y8	family_with_sequence_similarity_197_Y-linked_member_8
FAM197Y9	family_with_sequence_similarity_197_Y-linked_member_9
FAM197Y10	family_with_sequence_similarity_197_Y-linked_member_10
FAM198A	family_with_sequence_similarity_198_member_A
FAM198B	family_with_sequence_similarity_198_member_B
FAM199X	family_with_sequence_similarity_199,_X-linked
FAM199YP	family_with_sequence_similarity_199,_Y-linked,_pseudogene
FAM200A	family_with_sequence_similarity_200_member_A
FAM200B	family_with_sequence_similarity_200_member_B
FAM201A	family_with_sequence_similarity_201_member_A
FAM201B	family_with_sequence_similarity_201_member_B
FAM201CP	family_with_sequence_similarity_201_member_C,_pseudogene
FAM204A	family_with_sequence_similarity_204_member_A
FAM204BP	family_with_sequence_similarity_204_member_B,_pseudogene
FAM204CP	family_with_sequence_similarity_204_member_C,_pseudogene
FAM204DP	family_with_sequence_similarity_204_member_D,_pseudogene
FAM205A	family_with_sequence_similarity_205_member_A
FAM205BP	family_with_sequence_similarity_205_member_B,_pseudogene
FAM205C	family_with_sequence_similarity_205_member_C
FAM206A	family_with_sequence_similarity_206_member_A
FAM206BP	family_with_sequence_similarity_206_member_B,_pseudogene
FAM207A	family_with_sequence_similarity_207_member_A
FAM207BP	family_with_sequence_similarity_207_member_B,_pseudogene
FAM207CP	family_with_sequence_similarity_207_member_C,_pseudogene
FAM208A	family_with_sequence_similarity_208_member_A
FAM208B	family_with_sequence_similarity_208_member_B
FAM209A	family_with_sequence_similarity_209_member_A
FAM209B	family_with_sequence_similarity_209_member_B
FAM210A	family_with_sequence_similarity_210_member_A
FAM210B	family_with_sequence_similarity_210_member_B
FAM210CP	family_with_sequence_similarity_210_member_C,_pseudogene
FAM212A	family_with_sequence_similarity_212_member_A
FAM212B	family_with_sequence_similarity_212_member_B
FAM212B-AS1	FAM212B_antisense_RNA_1
FAM213A	family_with_sequence_similarity_213_member_A
FAM213B	family_with_sequence_similarity_213_member_B
FAM214A	family_with_sequence_similarity_214_member_A
FAM214B	family_with_sequence_similarity_214_member_B
FAM215A	family_with_sequence_similarity_215_member_A_(non-protein_coding)
