#fusion	count_of_samples	%ofSamples
CKMT1A--CKMT1B	9	0.24
CKM--SVIL	9	0.24
CKM--NRAP	9	0.24
CKM--MYOZ1	9	0.24
CKM--KRT13	9	0.24
CKM--KLHL41	9	0.24
CKM--GLUL	9	0.24
CKM--CA3	9	0.24
CELA2A--CPA2	9	0.24
CEL--SERPINA3	9	0.24
CDH16--UMOD	9	0.24
CD97--HBA2	9	0.24
CD74--KRT13	9	0.24
CCDC41--RBMS2	9	0.24
C3--AHSG	9	0.24
C1QB--SFTPA2	9	0.24
C17orf99--EIF5A	9	0.24
BRF2|GPR124--GPR124	9	0.24
BEND6--RSF1	9	0.24
AUP1|HTRA2--AUP1	9	0.24
ATP4B--PGA3	9	0.24
ATP4A--LIPF	9	0.24
ATP2A2--TTN	9	0.24
ATP2A1--TPM2	9	0.24
ATHL1--HBA2	9	0.24
ARPC2--HBB	9	0.24
ARMC2--ATP5J2|ATP5J2-PTCD1|PTCD1	9	0.24
ARHGDIB--HBA2	9	0.24
ARHGAP4--HBB	9	0.24
ARAP1--HBA2	9	0.24
AQP2--APP	9	0.24
APOE--CYP17A1	9	0.24
APOC3--ORM1	9	0.24
APOA2--TF	9	0.24
APOA1--ALDOB	9	0.24
APCS--ALB	9	0.24
ANXA1--S100A8	9	0.24
ANO10--RPL18A	9	0.24
ANKRD1--NPPA	9	0.24
AMY2B--CPA1	9	0.24
AMY2A--GP2	9	0.24
AMY2A--CEL	9	0.24
AMBP--FGG	9	0.24
AMBP--APOE	9	0.24
ALKBH3--SEC14L1	9	0.24
ALDOB--APOA1	9	0.24
ALDOA--NEB	9	0.24
ALDOA--KRT6A	9	0.24
ALDH2--SERPINA1	9	0.24
ALB--UGT1A10|UGT1A8|UGT1A9|UGT1A4|UGT1A5|UGT1A6|UGT1A7|UGT1A1|UGT1A3	9	0.24
ALB--TPT1	9	0.24
ALB--TAT	9	0.24
ALB--PEBP1	9	0.24
ALB--NNMT	9	0.24
ALB--ITIH3	9	0.24
ALB--DLG2	9	0.24
ALB--COL18A1	9	0.24
ALB--C4BPA	9	0.24
ALB--AOX1	9	0.24
AFAP1L2--TG	9	0.24
ADCK3--ACTA1	9	0.24
ACTN4--KRT6A	9	0.24
ACTG2--KRT13	9	0.24
ACTG2--KLK3	9	0.24
ACTG1--HBA1	9	0.24
ACTC1--MYBPC3	9	0.24
ACTB--PGA3	9	0.24
ACTB--GPX3	9	0.24
ACTA1--MYOZ1	9	0.24
ACTA1--MYL1	9	0.24
ACTA1--MYBPC2	9	0.24
ACTA1--BIN1	9	0.24
ACTA1--ADCK3	9	0.24
ACPP--MSMB	9	0.24
ABCA2--MBP	9	0.24
ZFP36--FLNA	8	0.22
YPEL3--HBA2	8	0.22
YBX3--TTN	8	0.22
YBX3--KRT13	8	0.22
YBX3--HBB	8	0.22
XIRP2--ACTA1	8	0.22
VWF--SFTPB	8	0.22
UMOD--CTSD	8	0.22
UGT2B28--UGT2B11	8	0.22
UGT2B11--UGT2B28	8	0.22
UGT1A10|UGT1A8|UGT1A9|UGT1A4|UGT1A5|UGT1A6|UGT1A7|UGT1A1|UGT1A3--ALB	8	0.22
UBC--TTN	8	0.22
UBC--KRT4	8	0.22
UBA1--TG	8	0.22
TYROBP--HBA2	8	0.22
TXNIP--HBA2	8	0.22
TXNIP--FLNA	8	0.22
TUBB4B--KRT13	8	0.22
TUBB2A--TUBB2B	8	0.22
TTN--TNNI1	8	0.22
TTN--HSPB6	8	0.22
TPT1--SFTPB	8	0.22
TPT1--PRSS1	8	0.22
TPM2--TGM2	8	0.22
TPM2--RYR1	8	0.22
TPM2--BGN	8	0.22
TPM2--ACTA2	8	0.22
TNS1--TAGLN	8	0.22
TNS1--SFTPA1	8	0.22
TNNT2--ACTA1	8	0.22
TNNT1--ALDOA	8	0.22
TNNI1--TTN	8	0.22
TNNI1--TPM2	8	0.22
TNNC1--MB	8	0.22
TNFRSF10C--TNFRSF10D	8	0.22
TMEM99|KRT10--SRRM2	8	0.22
TMEM99|KRT10--PKP1	8	0.22
TMEM99|KRT10--DSP	8	0.22
TMEM50B|IFNGR2--IFNGR2	8	0.22
TMBIM6--SFTPC	8	0.22
TMBIM6--GPX3	8	0.22
TIMP3|SYN3--UMOD	8	0.22
TG|SLA--PAX8	8	0.22
TG|SLA--ATP1A1	8	0.22
TG|SLA--ACTB	8	0.22
TGM2--SFTPA2	8	0.22
TG--TSC22D1	8	0.22
TG--SYNE1	8	0.22
TG--SNX22|PPIB	8	0.22
TG--SLC38A10	8	0.22
TG--RPLP1	8	0.22
TG--RPL7A	8	0.22
TG--PRKCSH	8	0.22
TG--PDIA4	8	0.22
TG--OBSL1	8	0.22
TG--MT1G	8	0.22
TG--MLLT6	8	0.22
TG--MACF1	8	0.22
TG--LTBP3	8	0.22
TG--KLF6	8	0.22
TG--HYOU1	8	0.22
TG--HUWE1	8	0.22
TG--HSPA1B	8	0.22
TG--HBB	8	0.22
TG--EGR2	8	0.22
TG--DYNLL2	8	0.22
TG--DDR1	8	0.22
TG--CRYAB	8	0.22
TG--CREB3L2	8	0.22
TG--CD164	8	0.22
TG--BRD2	8	0.22
TG--AGRN	8	0.22
TF--APOC3	8	0.22
TF--ALDOB	8	0.22
TCP1--ACAT2|TCP1	8	0.22
TCIRG1--HBA1	8	0.22
TCAP--TNNT2	8	0.22
TCAP--TNNT1	8	0.22
TCAP--NPPA	8	0.22
SYNE2--TG	8	0.22
SUSD2--SFTPC	8	0.22
STRADB--SPATA6	8	0.22
SRGN--HBB	8	0.22
SPTAN1--TG	8	0.22
SPRR2A--KRT16	8	0.22
SPRR1B--KRT16	8	0.22
SPRN|CYP2E1--FTL	8	0.22
SPRN|CYP2E1--FGB	8	0.22
SPRN|CYP2E1--CRP	8	0.22
SPRN|CYP2E1--ALDOB	8	0.22
SPINK1--GP2	8	0.22
SPI1--HBA1	8	0.22
SNCA--HBB	8	0.22
SMTN--MYL9	8	0.22
SMTN--MYH11	8	0.22
SMR3B--SMR3A	8	0.22
SMAP2--HBA2	8	0.22
SLCO5A1--HBA2	8	0.22
SLC9A7--CHMP5	8	0.22
SLC25A4--MYH7	8	0.22
SLC23A1|PAIP2--PAIP2	8	0.22
SLC22A8--GPX3	8	0.22
SLC16A3--HBB	8	0.22
SLC12A1--AQP2	8	0.22
SFTPC--SOCS3	8	0.22
SFTPC--LMO7	8	0.22
SFTPC--LIMCH1	8	0.22
SFTPC--LGALS3BP	8	0.22
SFTPC--JUNB	8	0.22
SFTPC--FOS	8	0.22
SFTPC--COL6A2	8	0.22
SFTPC--C1QB	8	0.22
SFTPB--TPT1	8	0.22
SFTPB--HLA-A	8	0.22
SFTPB--COL1A2	8	0.22
SFTPA2--TGM2	8	0.22
SFTPA2--TAGLN2	8	0.22
SFTPA2--RNASE1	8	0.22
SFTPA2--PIGR	8	0.22
SFTPA2--P4HB	8	0.22
SFTPA2--MSN	8	0.22
SFTPA2--COL3A1	8	0.22
SFTPA2--COL1A1	8	0.22
SFTPA2--CD63	8	0.22
SFTPA2--AQP1	8	0.22
SFTPA2--APLP2	8	0.22
SFTPA1--SERPINA1	8	0.22
SFTPA1--RNASE1	8	0.22
SFTPA1--C3	8	0.22
SFTPA1--BEST1|FTH1	8	0.22
SFN--AQP3	8	0.22
SERPINF2--FGA	8	0.22
SERPINA1--SFTPB	8	0.22
SERPINA1--ITIH3	8	0.22
SERHL2--RRP7A	8	0.22
SEMG2--SEMG1	8	0.22
SEC14L1--PPEF2	8	0.22
SCD--FASN	8	0.22
SCARB1--CYP11B1	8	0.22
SBNO2--HBA2	8	0.22
SAT1--HBB	8	0.22
SAA2--SERPINA3	8	0.22
S100A9--HLA-B	8	0.22
S100A16--KRT6A	8	0.22
S100A14--S100A9	8	0.22
RPS9--TG	8	0.22
RPS8--DNAH12	8	0.22
RPS6KA2--TG	8	0.22
RPS4X--TG	8	0.22
RPS18--KRT13	8	0.22
RPS14--MAPKAPK2	8	0.22
RPL7A--KRT13	8	0.22
RPL13A--PGA5	8	0.22
RPL13A--HBB	8	0.22
RPL11--TG	8	0.22
RPL11--KRT13	8	0.22
RNF213--PGC	8	0.22
RNF10--HBA2	8	0.22
RNASE1--SFTPA1	8	0.22
RHOB--SFTPC	8	0.22
RHOB--DES	8	0.22
RHOA--KRT13	8	0.22
RHD--RHCE	8	0.22
REG1A--EEF2	8	0.22
REG1A--CUZD1	8	0.22
RBPJL--CPA1	8	0.22
RABL2A--RABL2B	8	0.22
PTMA--TG	8	0.22
PTGR1--ZNF483|PTGR1	8	0.22
PTGDS--NPPA	8	0.22
PSAP--NDE1|MYH11	8	0.22
PRSS1--REG3A	8	0.22
PRSS1--ELAVL1	8	0.22
PRSS1--ANPEP	8	0.22
PRSS1--AMY2B	8	0.22
PRR4--KRT13	8	0.22
PRKCSH--TG	8	0.22
PRDX5--TG	8	0.22
PKM--KRT4	8	0.22
PKM--ACTA1	8	0.22
PITX1--KRT4	8	0.22
PIK3R2|IFI30--SFTPA2	8	0.22
PIGK--RPL17-C18orf32|RPL17	8	0.22
PID1--HFM1	8	0.22
PGD--KRT13	8	0.22
PGA5--RPL13A	8	0.22
PGA5--FTL	8	0.22
PGA5--DES	8	0.22
PGA3--PGA4	8	0.22
PGA3--DES	8	0.22
PDZD2--TOMM7	8	0.22
PDIA4--TG	8	0.22
PDIA2--CEL	8	0.22
PDE4DIP--DES	8	0.22
PDE3A--SFTPA2	8	0.22
PDE3A--SCGB1A1	8	0.22
PDE3A--PRL	8	0.22
PDE3A--POMC	8	0.22
PDE3A--PLA2G1B	8	0.22
PDE3A--MYH2	8	0.22
PDE3A--MUCL1	8	0.22
PDE3A--MUC7	8	0.22
PDE3A--HSD3B2	8	0.22
PDE3A--ANXA1	8	0.22
PDE3A--ACTA2	8	0.22
PCSK7|TAGLN--SMTN	8	0.22
PCSK7|TAGLN--KRT4	8	0.22
PCSK7|TAGLN--IGFBP5	8	0.22
PCSK7|TAGLN--GSN	8	0.22
PCK2|NRL--ALB	8	0.22
PCCA--RPL15|NKIRAS1	8	0.22
PCBD2--KRT4	8	0.22
PCBD2--ATP1A1	8	0.22
PALLD--DES	8	0.22
P4HB--SFTPC	8	0.22
P4HB--SFTPA2	8	0.22
P4HB--KRT6A	8	0.22
NUDT10--NUDT11	8	0.22
NRAP--DES	8	0.22
NR4A1--NDE1|MYH11	8	0.22
NR4A1--DES	8	0.22
NOTCH3--FLNA	8	0.22
NEFH--KLK3	8	0.22
NEB--TPM2	8	0.22
NDRG1--KRT4	8	0.22
NDE1|MYH11--THBS1	8	0.22
NDE1|MYH11--KLK2	8	0.22
NDE1|MYH11--FHL1	8	0.22
NCF4--HBB	8	0.22
NCF2--HBA2	8	0.22
N4BP2L2--HBB	8	0.22
MYOZ1--CKM	8	0.22
MYL9--KRT13	8	0.22
MYL9--IGFBP5	8	0.22
MYL3--TNNT2	8	0.22
MYL2--TPM1	8	0.22
MYL2--TNNI1	8	0.22
MYL2--MYL3	8	0.22
MYL2--ANKRD23|ANKRD39	8	0.22
MYH7--ANKRD1	8	0.22
MYH6--TNNI3	8	0.22
MYH6--MYL9	8	0.22
MYH2--KRT13	8	0.22
MYH11--VIM	8	0.22
MYH11--FN1	8	0.22
MYH11--EEF2	8	0.22
MYH1--TNNT1	8	0.22
MYH1--MYH13	8	0.22
MYBPC1--TNNT1	8	0.22
MT1G--TG	8	0.22
MKNK2--HBB	8	0.22
MGST1--ALB	8	0.22
ME1--GAPDH	8	0.22
MCAM--MYL9	8	0.22
MBP--CLU	8	0.22
MB--RYR1	8	0.22
MAGI1--SFTPA1	8	0.22
LYZ--SLC2A3	8	0.22
LYZ--HLA-E	8	0.22
LTBP3--TG	8	0.22
LRG1--SERPINA1	8	0.22
LIPF--PDE3A	8	0.22
LILRB3--LILRB1	8	0.22
LILRB3--HBB	8	0.22
LILRA5--HBB	8	0.22
LGALS3BP--TG	8	0.22
LARP1B--FOSL1	8	0.22
LAMP3--SFTPC	8	0.22
LAMB1--LAMB1|DLD	8	0.22
LAD1--KRT13	8	0.22
KRTAP4-9--KRTAP4-6	8	0.22
KRT8--SGK1	8	0.22
KRT76--KRT4	8	0.22
KRT7--SFTPC	8	0.22
KRT6A--S100A2	8	0.22
KRT6A--PKM	8	0.22
KRT6A--MAL	8	0.22
KRT6A--FLNA	8	0.22
KRT6A--DES	8	0.22
KRT6A--ALDOA	8	0.22
KRT5--DES	8	0.22
KRT4--MUC5B	8	0.22
KRT4--JUNB	8	0.22
KRT4--EZR	8	0.22
KRT4--ENO1	8	0.22
KRT4--ACTN4	8	0.22
KRT14--S100A8	8	0.22
KRT14--PPL	8	0.22
KRT14--KRT3	8	0.22
KRT14--ANXA1	8	0.22
KRT13--YWHAZ	8	0.22
KRT13--YBX3	8	0.22
KRT13--VIM	8	0.22
KRT13--SPINT1	8	0.22
KRT13--SH3BGRL3	8	0.22
KRT13--PFN1	8	0.22
KRT13--NBEAL2	8	0.22
KRT13--MYL9	8	0.22
KRT13--MYH2	8	0.22
KRT13--MYH11	8	0.22
KRT13--LMO7	8	0.22
KRT13--IGFBP5	8	0.22
KRT13--HOPX	8	0.22
KRT13--HLA-B	8	0.22
KRT13--H1F0	8	0.22
KRT13--GIPC1	8	0.22
KRT13--EEF2K	8	0.22
KRT13--DSC2	8	0.22
KRT13--CRABP2	8	0.22
KRT13--ATP5B	8	0.22
KRT13--ATP2A2	8	0.22
KRT13--ATP1A1	8	0.22
KRT13--ABLIM1	8	0.22
KLK3--NEFH	8	0.22
KLK3--ACTG2	8	0.22
KLK2--FLNA	8	0.22
JUNB--KRT4	8	0.22
IMPDH1--HBB	8	0.22
IGLL1--IGLL5	8	0.22
HSPB6--FLNA	8	0.22
HRG--FGA	8	0.22
HRC--MYH7	8	0.22
HPX--SAA1	8	0.22
HP--IGF2	8	0.22
HP--ADH1B	8	0.22
HP--A1BG	8	0.22
HLA-E--KRT13	8	0.22
HLA-C--SEC24D	8	0.22
HLA-C--KRT13	8	0.22
HDLBP--KRT13	8	0.22
HBP1--COG5|HBP1	8	0.22
HBB--ZDHHC18	8	0.22
HBB--YBX3	8	0.22
HBB--ULK1	8	0.22
HBB--SRGN	8	0.22
HBB--SLC6A6	8	0.22
HBB--S100A4	8	0.22
HBB--S100A12	8	0.22
HBB--PTK2B	8	0.22
HBB--MXD1	8	0.22
HBB--LILRB3	8	0.22
HBB--LILRA5	8	0.22
HBB--GATAD2A	8	0.22
HBB--ENO1	8	0.22
HBB--CXCR2	8	0.22
HBB--CLMN	8	0.22
HBB--ARHGAP4	8	0.22
HBA2--UBXN6	8	0.22
HBA2--SIPA1	8	0.22
HBA2--SELL	8	0.22
HBA2--RPLP2	8	0.22
HBA2--RPL28	8	0.22
HBA2--NCF2	8	0.22
HBA2--IFITM3	8	0.22
HBA2--HMHA1	8	0.22
HBA2--HCLS1	8	0.22
HBA2--HCK	8	0.22
HBA2--GUK1	8	0.22
HBA2--EFHD2	8	0.22
HBA2--DNAJB1	8	0.22
HBA2--CNN2	8	0.22
HBA2--BCL2L1	8	0.22
HBA1--ZYX	8	0.22
HBA1--UBB	8	0.22
HBA1--SERPINA1	8	0.22
HBA1--CD74	8	0.22
H1F0--KRT13	8	0.22
GPX3--SFTPA1	8	0.22
GPX3--NDE1|MYH11	8	0.22
GPX3--GATM	8	0.22
GPX3--GAPDH	8	0.22
GPX3--EEF1A1	8	0.22
GPRC5A--TG	8	0.22
GNB2L1--SFTPA2	8	0.22
GLUL--NDE1|MYH11	8	0.22
GLUL--HBA2	8	0.22
GIPC1--KRT13	8	0.22
GH1--GNAS	8	0.22
GFAP--PLP1	8	0.22
GFAP--CLU	8	0.22
GAPDH--GPX3	8	0.22
GABARAP--HBB	8	0.22
FTL--SERPINA1	8	0.22
FOS--SFTPA1	8	0.22
FOS--KRT4	8	0.22
FOS--HBB	8	0.22
FN1--VIM	8	0.22
FN1--MYH11	8	0.22
FLNC--MYL2	8	0.22
FLNC--MYH1	8	0.22
FLNA--TNC	8	0.22
FLNA--PGA5	8	0.22
FLNA--PALLD	8	0.22
FLNA--KLK2	8	0.22
FLNA--EGR1	8	0.22
FLNA--A2M	8	0.22
FHL1--MYBPC1	8	0.22
FHL1--MB	8	0.22
FHL1--FLNA	8	0.22
FGR--HBA2	8	0.22
FGD3--HBA2	8	0.22
FGA--TTR	8	0.22
FGA--ORM2	8	0.22
FGA--HRG	8	0.22
FGA--HPR	8	0.22
FGA--A2M	8	0.22
FCN1--HBB	8	0.22
FCGR3B--HBB	8	0.22
FCER1G--HBB	8	0.22
FASN--GPX3	8	0.22
FAM189A1--DCAF6	8	0.22
ENO1--TG	8	0.22
ENO1--KRT5	8	0.22
ENO1--HBA2	8	0.22
EMP1--S100A9	8	0.22
EMP1--KRT5	8	0.22
ELN--TPM2	8	0.22
ELN--PCSK7|TAGLN	8	0.22
ELN--FN1	8	0.22
ELL--HBB	8	0.22
ELF3--KRT13	8	0.22
EIF4G2--KRT4	8	0.22
EGR1--FOSB	8	0.22
EGFR--KRT13	8	0.22
EFHD2--HBB	8	0.22
EEF1A1--SFTPB	8	0.22
DUOX2--TG	8	0.22
DSP--TMEM99|KRT10	8	0.22
DSP--TG	8	0.22
DSC2--KRT13	8	0.22
DHRS4L2--DHRS4	8	0.22
DES--TLN1	8	0.22
DES--RPLP1	8	0.22
DES--PALLD	8	0.22
DES--MYL6	8	0.22
DES--MYBPC2	8	0.22
DES--LENG8	8	0.22
DES--KRT5	8	0.22
DES--HSPG2	8	0.22
DES--ACPP	8	0.22
DENND3--HBB	8	0.22
DDT--DDTL|DDT	8	0.22
DDR1--TG	8	0.22
DCXR--ALB	8	0.22
DAAM2|MOCS1--DAAM2	8	0.22
CYP4A11--ALB	8	0.22
CYP17A1--SCARB1	8	0.22
CYP17A1--APOE	8	0.22
CXCL13--IDH1	8	0.22
CUZD1--CPA1	8	0.22
CTRB2--P4HB	8	0.22
CTRB2--ATHL1	8	0.22
CST7--HBB	8	0.22
CST3--TG	8	0.22
CSH2--GH1	8	0.22
CRP--APOA1	8	0.22
CRNN--S100A14	8	0.22
CREB3L2--TG	8	0.22
CPQ--HBB	8	0.22
CPB1--PNLIPRP1	8	0.22
CPB1--AMY2B	8	0.22
CPA1--RRBP1	8	0.22
COL6A2--TG	8	0.22
COL6A1--MYL9	8	0.22
COL1A1--SFTPA2	8	0.22
COL1A1--SFTPA1	8	0.22
COL1A1--MYL9	8	0.22
COL1A1--COL2A1	8	0.22
COL18A1--TG	8	0.22
COL17A1--KRT13	8	0.22
CNN1--PCSK7|TAGLN	8	0.22
CLU--TG|SLA	8	0.22
CLU--SAA1	8	0.22
CKM--TNNI2	8	0.22
CKM--PLEC	8	0.22
CKM--KIF1C	8	0.22
CHGB--GH1	8	0.22
CFL1--TG	8	0.22
CES1--ALB	8	0.22
CEP85L|PLN--CEP85L	8	0.22
CELA3B--REG1B	8	0.22
CELA2B--CPB1	8	0.22
CELA2A--PLA2G1B	8	0.22
CEACAM3--CEACAM5	8	0.22
CD81--SFTPA1	8	0.22
CD74--KRT6A	8	0.22
CD74--GPX3	8	0.22
CD74--A2M	8	0.22
CD164--TG	8	0.22
CCND3--HBB	8	0.22
CCDC152|SEPP1--HP	8	0.22
CAPN1--KRT4	8	0.22
CAP1--HBB	8	0.22
CACNB1--MED24	8	0.22
CA1--HBB	8	0.22
C8orf76|ZHX1-C8ORF76--UBA52	8	0.22
C4BPA--ALB	8	0.22
C3--HPX	8	0.22
C1QB--SFTPC	8	0.22
C10orf10|RASSF4--FLNA	8	0.22
BTN3A3--BTN3A2	8	0.22
BRD2--TG	8	0.22
BPTF--CELA3A	8	0.22
BMP8A--BMP8B	8	0.22
BIN1--CKM	8	0.22
BGN--ELN	8	0.22
BEST1|FTH1--SFTPA2	8	0.22
BEST1|FTH1--SFTPA1	8	0.22
BANF1--CAB39	8	0.22
B2M--CD74	8	0.22
AZGP1--HP	8	0.22
ATP6AP2--CRB1	8	0.22
ATP2A1--ALDOA	8	0.22
ASAH1--TG	8	0.22
ARRB2--HBA1	8	0.22
ARPC1B--HBB	8	0.22
ARHGEF35--ARHGEF5	8	0.22
AQP2--SLC12A1	8	0.22
APP--SFTPC	8	0.22
APP--GPX3	8	0.22
APOE--FGB	8	0.22
APOC1--FGA	8	0.22
APOBEC3B--APOBEC3A	8	0.22
APOA2--APOE	8	0.22
ANPEP--PRSS1	8	0.22
ANKRD23|ANKRD39--ACTA1	8	0.22
ANKRD1--MYH7	8	0.22
ANKRD1--DES	8	0.22
ANKH--SYNC|RBBP4	8	0.22
AMY2B--PRSS1	8	0.22
AMY2A--CLPS	8	0.22
AMY1C--AMY1B	8	0.22
AMBP--RBP4	8	0.22
ALDOB--TF	8	0.22
ALDOB--FGB	8	0.22
ALDOA--SOD2	8	0.22
ALB--SLC22A1	8	0.22
ALB--CES1	8	0.22
ALB--C9	8	0.22
ALB--BAAT	8	0.22
AHNAK--KRT5	8	0.22
AGXT--HP	8	0.22
AES--SFTPC	8	0.22
ADH1B--SERPINA1	8	0.22
ADH1B--HP	8	0.22
ACTN4--FLNA	8	0.22
ACTG1--S100A9	8	0.22
ACTG1--FLNA	8	0.22
ACTB--COL6A2	8	0.22
ACTB--ALB	8	0.22
ACTA2--KLK3	8	0.22
ACTA1--SLC25A4	8	0.22
ACTA1--KRT13	8	0.22
ACTA1--KLHL41	8	0.22
ACTA1--COL6A1	8	0.22
ACTA1--ANKRD23|ANKRD39	8	0.22
A2M--FGA	8	0.22
ZNF33B--ZNF33A	7	0.19
YWHAZ--KRT13	7	0.19
YWHAH--YWHAH|C22orf24	7	0.19
YBX3--MYH7	7	0.19
WDR1--TG	7	0.19
VTN--FGG	7	0.19
VTN--FGB	7	0.19
VTN--APOE	7	0.19
VTN--APOC3	7	0.19
VTN--APOA2	7	0.19
VIM--MYL9	7	0.19
VIM--FN1	7	0.19
UNC13D--HBA2	7	0.19
UMOD--SPP1	7	0.19
UMOD--MYH9	7	0.19
UMOD--IGFBP5	7	0.19
UMOD--ATP1B1	7	0.19
UGT2B4--UGT2B7	7	0.19
UBC--SFTPC	7	0.19
UBA52--HBA1	7	0.19
TXNIP--SFTPA2	7	0.19
TUBA1A--TUBA1B	7	0.19
TTN--UBC	7	0.19
TTN--NPPA	7	0.19
TTN--KRT13	7	0.19
TTN--KLHL41	7	0.19
TTN--ATP2A2	7	0.19
TSPEAR|KRTAP10-2--TSPEAR|KRTAP10-9	7	0.19
TRIM63--ACTA1	7	0.19
TPM3--TTN	7	0.19
TPM3--TNNT1	7	0.19
TPM2--MCAM	7	0.19
TPM2--EEF2	7	0.19
TPM1--PCSK7|TAGLN	7	0.19
TNS1--FN1	7	0.19
TNS1--ACTB	7	0.19
TNNT3--TTN	7	0.19
TNNT2--MYL3	7	0.19
TNNT2--CRYAB	7	0.19
TNNT1--TNNC1	7	0.19
TNNT1--PYGM	7	0.19
TNNC2--TNNT3	7	0.19
TNNC1--MYH6	7	0.19
TMEM99|KRT10--KRT17	7	0.19
TMEM14B--TMEM14C	7	0.19
TMBIM6--KRT13	7	0.19
TIMP3|SYN3--DES	7	0.19
TIMP2--SFTPA2	7	0.19
THEMIS2--HBB	7	0.19
TG|SLA--IGFBP5	7	0.19
TG|SLA--HBA2	7	0.19
TG|SLA--FCGBP	7	0.19
TGM2--NPPA	7	0.19
TGM2--FN1	7	0.19
TG--ZC3H7B	7	0.19
TG--UBA1	7	0.19
TG--RPS9	7	0.19
TG--RPS3	7	0.19
TG--RPLP0	7	0.19
TG--RERE	7	0.19
TG--PTRF	7	0.19
TG--PTMS	7	0.19
TG--PLVAP	7	0.19
TG--NPNT	7	0.19
TG--NKX2-1	7	0.19
TG--MYL9	7	0.19
TG--MYH14	7	0.19
TG--MYADM	7	0.19
TG--LGALS3BP	7	0.19
TG--HSPG2	7	0.19
TG--HSP90AA1	7	0.19
TG--GPRC5A	7	0.19
TG--GANAB	7	0.19
TG--FOXE1	7	0.19
TG--FNDC1	7	0.19
TG--EPAS1	7	0.19
TG--ENO1	7	0.19
TG--DUOX2	7	0.19
TG--DSP	7	0.19
TG--CTSZ	7	0.19
TG--COL18A1	7	0.19
TG--CHCHD3	7	0.19
TG--ATP5B	7	0.19
TG--ATN1	7	0.19
TG--AIF1L	7	0.19
TFF2--PGC	7	0.19
TF--RBP4	7	0.19
TF--AMBP	7	0.19
TES--LPP	7	0.19
TENC1--HBB	7	0.19
TAGLN2--SFTPA1	7	0.19
TAGLN2--KRT13	7	0.19
SZT2|HYI--HYI	7	0.19
SUSD2--SFTPA1	7	0.19
STAR--SCARB1	7	0.19
STAR--HSD3B2	7	0.19
SRRM2--PRSS1	7	0.19
SRRM2--PGA5	7	0.19
SPRR3--S100A14	7	0.19
SPRR3--KRT6B	7	0.19
SPRR3--KRT15	7	0.19
SPRR2A--KRT5	7	0.19
SPRR2A--KRT14	7	0.19
SPRR1A--SPRR3	7	0.19
SPRR1A--SPRR2A	7	0.19
SPRN|CYP2E1--TF	7	0.19
SPRN|CYP2E1--SAA2	7	0.19
SPRN|CYP2E1--CLU	7	0.19
SPRN|CYP2E1--APOE	7	0.19
SPP1--GPX3	7	0.19
SPNS2--KRT13	7	0.19
SPEG--NDE1|MYH11	7	0.19
SPARC--SFTPB	7	0.19
SORL1--HBB	7	0.19
SOD2--KRT4	7	0.19
SOD2--ALDOA	7	0.19
SLC38A10--TG	7	0.19
SLC2A3--HBA1	7	0.19
SKI--PRKCZ	7	0.19
SH3BGRL3--KRT13	7	0.19
SFTPC--UBC	7	0.19
SFTPC--TLN1	7	0.19
SFTPC--RHOB	7	0.19
SFTPC--P4HB	7	0.19
SFTPC--NFKBIA	7	0.19
SFTPC--MYL9	7	0.19
SFTPC--LYZ	7	0.19
SFTPC--JUND	7	0.19
SFTPC--JUN	7	0.19
SFTPC--HLA-DRB5	7	0.19
SFTPC--HBA2	7	0.19
SFTPC--FASN	7	0.19
SFTPC--CD55	7	0.19
SFTPC--CD44	7	0.19
SFTPC--APP	7	0.19
SFTPB--VWF	7	0.19
SFTPB--TNS1	7	0.19
SFTPB--SPTBN1	7	0.19
SFTPB--ICAM1	7	0.19
SFTPB--HFM1	7	0.19
SFTPB--GPRC5A	7	0.19
SFTPB--CTSB	7	0.19
SFTPB--CALR	7	0.19
SFTPA2--VWF	7	0.19
SFTPA2--UBC	7	0.19
SFTPA2--TXNIP	7	0.19
SFTPA2--PDE3A	7	0.19
SFTPA2--HLA-DRB1	7	0.19
SFTPA2--HFM1	7	0.19
SFTPA2--GPX3	7	0.19
SFTPA2--GNB2L1	7	0.19
SFTPA2--BEST1|FTH1	7	0.19
SFTPA1--TMSB4X	7	0.19
SFTPA1--MAGI1	7	0.19
SFTPA1--HLA-DPA1	7	0.19
SFTPA1--EMP2	7	0.19
SFTPA1--EEF1A1	7	0.19
SFTPA1--C1QB	7	0.19
SFTPA1--ANTXR1	7	0.19
SFN--KRT6B	7	0.19
SERPING1--SAA1	7	0.19
SERPING1--APOA1	7	0.19
SERPINC1--FGA	7	0.19
SERPINB3--KRT13	7	0.19
SERPINB1--KRT13	7	0.19
SERPINA3--CELA3A	7	0.19
SERPINA1--PLG	7	0.19
SERPINA1--NNMT	7	0.19
SERPINA1--IGFBP4	7	0.19
SERPINA1--FTL	7	0.19
SERPINA1--COL18A1	7	0.19
SERPINA1--C4B	7	0.19
SERPINA1--ATF5	7	0.19
SERF2--HBB	7	0.19
SEMG2--CLU	7	0.19
SEMG1--SEMG2	7	0.19
SEMG1--PSAP	7	0.19
SEMG1--PIP	7	0.19
SEMG1--PDE3A	7	0.19
SEMG1--MUC6	7	0.19
SEMG1--FN1	7	0.19
SEMG1--CLU	7	0.19
SEMG1--ASS1	7	0.19
SEMA4B--IDH2	7	0.19
