HgeneSymbol	TgeneSymbol	diseaseName	pubmedIds
RUNX1	RUNX1T1	acute myelogenous leukemia	10208431
RUNX1	RUNX1T1	acute myeloblastic leukaemia	9753074
RUNX1	RUNX1T1	acute myeloid leukemia	9619731
RUNX1	RUNX1T1	acute myelogenous leukemia	9579874
RUNX1	RUNX1T1	acute myeloid leukemia	9180915
RUNX1	RUNX1T1	Acute myeloid leukaemia (AML)	9054947
RUNX1	RUNX1T1	acute myeloid leukemia	9029185
RUNX1	RUNX1T1	acute myelogenous leukaemia	8857943
RUNX1	RUNX1T1	acute myelogenous leukemia (AML)	8804160
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	7630188
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	7541640
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	7889521
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	7522291
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	7812194
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	7514242
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	7514241
RUNX1	RUNX1T1	acute myeloblastic leukemia	8049646
RUNX1	RUNX1T1	acute myelogenous leukemia with maturation (AMLM2)	7507193
RUNX1	RUNX1T1	acute myeloid leukemia	8338940
RUNX1	RUNX1T1	acute myeloid leukemia(AML)	11876965
RUNX1	RUNX1T1	acute myelogenous leukemia (AML)	8639850
RUNX1	MECOM	"myelodysplastic syndrome (MDS), chronic myelogenous leukemia during the blast crisis(CMLBC), acute myeloid leukemia (AML)"	12082639
RUNX1	MECOM	chronic myelogenous leukemia	9834202
RUNX1	MECOM	chronic myelogenous leukemia (CML)	7675444
RUNX1	MECOM	chronic myelogenous leukemia (CML)	7647015
RUNX1	MECOM	chronic myelogenous leukemia (CML)	7602795
RUNX1	MECOM	chronic myelogenous leukemia (CML)	7739522
RUNX1	MECOM	chronic myelocytic leukemia 	8313895
RUNX1	MECOM	myeloid leukemia	8643684
RUNX1	RUNX1T1	acute myeloid leukaemia (AML)	16652140
RUNX1	RUNX1T1	spinal granulocytic sarcoma	16075175
RUNX1	RUNX1T1	acute myeloid leukemia	15723339
RUNX1	RUNX1T1	AML	15556282
RUNX1	RUNX1T1	granulocytic sarcoma	15253547
RUNX1	RUNX1T1	acute myelogenous leukemia	15045828
RUNX1	RUNX1T1	core binding factor [CBF] leukemias	14645432
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	11550287
RUNX1	RUNX1T1	Acute myelocytic leukemia(AML)	11070937
RUNX1	RUNX1T1	acute myeloid leukemia (AML)	10891464
RUNX1	RUNX1T1	acute myeloid leukaemia (AML)	10188872
RUNX1	RUNX1T1	acute myeloid leukaemia(AML)	9720721
RUNX1	RUNX1T1	acute myelocytic leukaemia	9401077
RUNX1	RUNX1T1	acute myeloid leukemia	8683993
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	9150886
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	7487974
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	7553157
RUNX1	RUNX1T1	acute myeloid leukemia	8353289
RUNX1	RUNX1T1	de novo cases of acute myeloid leukemia	12480707
RUNX1	RUNX1T1	myeloid leukemia	10675041
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	10673753
RUNX1	RUNX1T1	acute myelogenous leukemia(AML)	10648391
RUNX1	RUNX1	leukemia	18511808
RUNX1	RUNX1	chronic myelomonocytic leukemia with progressive thrombocytopenia and monocytosis	15262442
RUNX1	RUNX1	hematological malignancies	14556655
RUNX1	RUNX1	acute myeloblastic leukemia	12381450
RUNX1	RUNX1T1	acute myeloblastic leukemia	12381450
RUNX1	RUNX1T1	acute myeloid leukemia	17493351
RUNX1	RUNX1T1	acute myeloid leukemia (AML)	11930660
RUNX1	RUNX1T1	acute myeloid leukemia	11587363
RUNX1	RUNX1T1	Acute myelogenous leukemia	8960665
RUNX1	RUNX1T1	acute myeloid leukemia	12557226
RUNX1	RUNX1T1	 acute myelogenous leukemia	15223639
CBFB	MYH11	 acute myelogenous leukemia	15223639
PML	RARA	 acute myelogenous leukemia	15223639
BIRC3	MALT1	mucosaassociated lymphoid tissue (MALT) lymphoma	18307876
BIRC3	MALT1	mucosaassociated lymphoid tissue (MALT) lymphoma	17852708
BIRC3	MALT1	MALT lymphoma	17570523
BIRC3	MALT1	MALT lymphoma	17274374
BIRC3	MALT1	extranodal Bcell lymphoma	16630483
BIRC3	MALT1	gastric mucosaassociated lymphoid tissue (MALT) lymphoma	16412032
BIRC3	MALT1	Mucosaassociated lymphoid tissue (MALT) lymphoma	16105761
BIRC3	MALT1	"Hashimoto's thyroiditis, thyroid lymphomas"	16078567
BIRC3	MALT1	mucosaassociated lymphoid tissue (MALT) type lymphoma	15982633
BIRC3	MALT1	MALT lymphoma	15696476
BIRC3	MALT1		15471554
BIRC3	MALT1		15280657
BIRC3	MALT1	pulmonary MALT lymphoma	15256115
BIRC3	MALT1	mucosaassociated lymphoid tissue lymphoma	15150097
BIRC3	MALT1	MALT lymphoma	15071907
BIRC3	MALT1	colorectal lymphoma	14681324
BIRC3	MALT1	ocular adnexal MALT lymphoma	14674990
BIRC3	MALT1	"Bcell lymphoma, revised EuropeanAmerican lymphoma (REAL)"	11707622
BIRC3	MALT1	mucosaassociated lymphoid tissue (MALT)	10626814
BIRC3	MALT1	gastrointestinal mucosa associated lymphoid tissue lymphoma	12499431
ASPSCR1	TFE3	Alveolar softpart sarcoma (ASPS)	19384069
ASPSCR1	TFE3	Alveolar soft part sarcoma (ASPS)	19380023
ASPSCR1	TFE3	Alveolar softpart sarcoma (ASPS)	18714394
ASPSCR1	TFE3	Alveolar soft part sarcoma (ASPS)	18382356
ASPSCR1	TFE3	Pediatric renal cell carcinoma (RCC)	17149613
ASPSCR1	TFE3	alveolar soft part sarcoma(ASPS)	15634444
ASPSCR1	TFE3	Kidney carcinoma	17361217
ATIC	ALK	Inflammatory myofibroblastic tumour	17361217
BCAS4	BCAS3		17568001
BCAS4	BCAS3	MCF7	17568001
BCAS4	BCAS3	HCT116	17568001
CCND1	CCND1	Bcell leukemia/lymphoma	8049438
CCND1	CCND1	centrocytic lymphoma	8172823
CCND1	CCND1	centrocytic lymphoma	8172823
CCND1	CCND1	centrocytic lymphoma	8172823
BCL11A	MALT1	Bcell lymphomas	12774917
BCL2	IGH@	mucosaassociated lymphoid tissue lymphoma	11793448
BCL2	IGH@	nonHodgkin's lymphoma	11774219
BCL2	IGH@	Bcell tumors	11572760
BCL2	IGH@		11167744
BCL2	IGH@	"prostatic adenocarcinoma, benign prostatic hyperplasia (BPH)"	10667479
BCL2	IGH@	follicular lymphoma	10629043
BCL2	IGH@	hematological malignancy	10618414
BCL2	IGH@	follicular lymphoma	10583231
BCL2	IGH@	follicular lymphomas	8640906
BCL2	HFE2	follicular lymphoma (FL)	17351675
BCL2	HFE2	nonHodgkin's lymphoma	9443038
BCL2	IGH@	Follicular lymphoma (FL)	18665753
BCL2	IGH@	follicular lymphoma	16330451
BCL2	IGH@	follicular lymphoma	12613529
BCL2	IGH@	leukemia and lymphoma	11307316
BCL2	IGH@	malignant hematological and immunopathological diseases	11061567
BCL2	IGH@	follicular lymphoma	9432035
BCL2	IGH@	follicular lymphoma	8700536
BCL2	IGH@	nonHodgkin's lymphoma	8732086
BCL2	IGH@	lymphoma/leukemia	8647513
BCL2	IGH@		7590697
BCL2	IGH@	Hodgkin's lymphoma	7475272
BCL2	IGH@	intramucosal carcinoma (IMC)	8552577
BCL2	IGH@	nonHodgkin's lymphoma (NHL)	8531376
BCL2	IGH@	follicular lymphoma	8461469
BCL2	IGH@		17493380
BCL2	IGH@	nonHodgkin's lymphoma	1419624
BCL2	HFE2	cholangiocellular carcinoma (CCC)	15484294
BCL2	HFE2	laryngeal squamous cell carcinomas	12768773
BCL2	HFE2	Follicular lymphoma	12411590
BCL2	HFE2	"hepatocellular carcinoma(HCC), cholangicellular carcinoma (CCC)"	10359867
BCL2	HFE2	follicular lymphoma	9835862
BCL2	HFE2	Hodgkin's disease (HD)	9531597
BCL2	HFE2	follicular lymphoma	8826892
BCL2	HFE2	nonHodgkin's lymphoma	9275669
BCL2	HFE2	Follicular lymphoma	8492410
BCL2	HFE2	follicular lymphoma	8426481
BCL2	HFE2	follicular lymphoma	8449825
BCL2	HFE2	follicular nonHodgkin's lymphoma	8418370
BCL2	HFE2	follicular lymphoma	1766674
BCL2	HFE2	chronic Bcell leukemia	2009372
BCL6	IGH@	Bcell nonHodgkin's lymphoma	9504630
BCL6	IGH@	nonHodgkin lymphoma	9398863
BCL6	POU2AF1	B cell leukemia	8618432
BCL6	POU2AF1	Bcell non Hodgkin's lymphomas	8574789
TNFRSF17	IL2	malignant T cell lymphoma	1396583
BCR	ABL1	Chronic myeloid leukemia (CML)	19343297
BCR	ABL1	chronic myeloid leukemia(CML)	19199263
BCR	ABL1	chronic myeloid leukemia	19182535
BCR	ABL1	Chronic myeloid leukemia (CML)	19145090
BCR	ABL1	Chronic myeloid leukemia (CML)	19141860
BCR	ABL1	leukemia	19097599
BCR	ABL1	Chronic myeloid leukemia (CML)	18766960
BCR	ABL1	Chronic myeloid leukaemia (CML)	18759727
BCR	ABL1	chronic myelogenous leukemia (CML)	18722880
BCR	ABL1	chronic myelogenous leukemia	18696070
BCR	ABL1	Chronic myeloid leukemia	18672441
BCR	ABL1	chronic myeloid leukemia	18603893
BCR	ABL1	Chronic myeloid leukemia	18578373
BCR	ABL1	chronic myelogenous leukemia	18566539
BCR	ABL1	chronic myelogenous leukemia	18555525
BCR	ABL1	chronic myeloid leukemia	18543309
BCR	ABL1	Chronic myeloid leukemia (CML)	18533795
BCR	ABL1	Chronic myelogenous leukemia (CML)	18429957
BCR	ABL1	chronic myeloid leukemia	18426313
BCR	ABL1	chronic myelogenous leukemia (CML)	18418407
BCR	ABL1	chronic myeloid leukemia (CML)	18347292
BCR	ABL1	childhood ALL	18289459
BCR	ABL1	chronic myeloid leukemia	18283861
BCR	ABL1		18262055
BCR	ABL1	acute lymphoblastic leukemia (ALL)	18253707
BCR	ABL1	chronic myeloid leukemia (CML)	18250304
BCR	ABL1	Chronic myelogenous leukemia	18190961
BCR	ABL1	"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL)"	18155764
BCR	ABL1		18094559
BCR	ABL1	chronic myeloid leukemia	18074781
BCR	ABL1	Chronic Myeloid Leukemia (CML)	17914187
BCR	ABL1	Chronic myeloid leukemia (CML)	17875506
BCR	ABL1	"chronic myelogenous leukemia (CML), acute lymphoblastic leukemia (ALL)"	17705578
BCR	ABL1	chronic myeloid leukaemia (CML)	17688365
BCR	ABL1	"chronic myeloid leukemia (CML), Ph+ ALL"	17683977
BCR	ABL1		17645839
BCR	ABL1	Chronic myeloid leukemia (CML)	17566666
BCR	ABL1	chronic myeloid leukemia (CML)	17504122
BCR	ABL1	acute lymphoblastic leukemia	17496935
BCR	ABL1	chronic myeloid leukemia (CML)	17493325
BCR	ABL1	Chronic myelogenous leukemia (CML)	17493320
BCR	ABL1	chronic myelogenous leukemia (CML)	17490540
BCR	ABL1	chronic myeloid leukemia (CML)	17470736
BCR	ABL1	chronic myeloid leukemia	17452251
BCR	ABL1	Chronic myeloid leukemia (CML)	17382020
BCR	ABL1	Chronic myeloid leukemia (CML)	17382013
BCR	ABL1	Chronic myeloid leukaemia (CML)	17349636
BCR	ABL1	Chronic myelogenous leukemia (CML)	17292736
BCR	ABL1	Chronic myelogenous leukemia (CML)	17245764
BCR	ABL1	Chronic myeloid leukemia (CML)	17218393
BCR	ABL1	chronic myeloid leukemia (CML)	17197751
BCR	ABL1	chronic myelogenous leukemia (CML)	17168670
BCR	ABL1	Chronic myelogenous leukemia (CML)	17146202
BCR	ABL1	Chronic myeloid leukemia (CML)	17106019
BCR	ABL1	chronic myeloid leukaemia	16961463
BCR	ABL1	leukemia	16950675
BCR	ABL1		16928319
BCR	ABL1	chronic myelogenous leukemia (CML)	16924701
BCR	ABL1	leukemia	16923568
BCR	ABL1	chronic myelogenous leukemia(CML)	16904383
BCR	ABL1	Chronic myeloid leukemia (CML)	16891454
BCR	ABL1	chronic myeloid leukemia	16888785
BCR	ABL1	Chronic myeloid leukemia (CML)	16843101
BCR	ABL1	chronic myelogenous leukemia (CML)	16800946
BCR	ABL1	chronic myeloid leukemia(CML)	16800914
BCR	ABL1	leukemia	16780770
BCR	ABL1	chronic myeloid leukemia (CML)	16772122
BCR	ABL1	Chronic myeloid leukemia (CML)	16755775
BCR	ABL1	Chronic myelogenous leukemia	16689455
BCR	ABL1	chronic myeloid leukemia	16682291
BCR	ABL1	chronic myeloid leukemia (CML)	16638190
BCR	ABL1	chronic myeloid leukaemia	16598834
BCR	ABL1	chronic myeloid leukemia (CML)	16502578
BCR	ABL1	acute myelogenous leukemia (AML)	16490599
BCR	ABL1	Chronic myeloid leukemia (CML)	16475128
BCR	ABL1	"Tcell acute lymphoblastic leukemia, acute myelomonocytic leukemia"	16434313
BCR	ABL1	chronic myeloid leukaemia(CML)	16409301
BCR	ABL1	leukemia	16403263
BCR	ABL1	chronic myeloid leukemia	16403254
BCR	ABL1	Chronic myeloid leukemia	19388595
BCR	ABL1		16383241
BCR	ABL1	Chronic myelogenous leukemia	16334201
BCR	ABL1		16305489
BCR	ABL1	chronic myeloid leukaemia (CML)	16284673
BCR	ABL1	chronic myelogenous leukemia (CML)	16258220
BCR	ABL1	chronic myeloid leukemia	16224485
BCR	ABL1	Chronic myeloid leukemia (CML)	16207215
BCR	ABL1	Chronic myeloid leukemia (CML)	16204063
BCR	ABL1	Chronic myeloid leukaemia (CML)	16203604
BCR	ABL1	chronic myeloid leukemia (CML)	16144796
BCR	ABL1	chronic myelocytic leukemia (CML)	16029627
BCR	ABL1	chronic myelogenous leukemia (CML)	16024645
BCR	ABL1	chronic myelogenous leukemia (CML)	16023722
BCR	ABL1	"chronic myeloid leukemia(CML), acute lymphoblastic leukemia (ALL)"	15996933
BCR	ABL1	Chronic myeloid leukemia (CML)	15987013
BCR	ABL1		15978941
BCR	ABL1	chronic myeloid leukemia	15899391
BCR	ABL1	chronic myeloid leukemia	15820950
BCR	ABL1	Chronic myelogenous leukemia (CML)	15791812
BCR	ABL1	Chronic myeloid leukemia (CML)	15789779
BCR	ABL1	Chronic Myeloid Leukemia (CML)	15739279
BCR	ABL1	Chronic myeloid leukemia	15650267
BCR	ABL1	chronic myelogenous leukemia (CML)	15579919
BCR	ABL1	chronic myeloid leukemia(CML)	15475075
BCR	ABL1	chronic myelogenous leukemia (CML)	15381372
BCR	ABL1	two Ph chromosome positive chronic myelogenous leukemia	15355693
BCR	ABL1	chronic myeloid leukemia	15277706
BCR	ABL1	chronic myeloid leukemia	15271392
BCR	ABL1	chronic lymphocytic leukemia	15262435
BCR	ABL1	chronic myeloid leukemia (CML)	15255169
BCR	ABL1	chronic myelogenous leukemia	15248918
BCR	ABL1	chronic myelogenous leukemia	15228654
BCR	ABL1		15042680
BCR	ABL1	acute lymphoblastic leukemia.	15039277
BCR	ABL1	Chronic myeloid leukemia	15027317
BCR	ABL1	Leukemia	15014529
BCR	ABL1	Chronic myeloid leukemia	15000831
BCR	ABL1	thrombocythemia	14966468
BCR	ABL1	Chronic myeloid leukemia	14734089
BCR	ABL1	chronic myeloid leukemia	14725895
BCR	ABL1	acute lymphoblastic leukemia	14689877
BCR	ABL1	chronic myeloid leukemia	14678896
BCR	ABL1	chronic myelogenous leukemia	14677715
BCR	ABL1	Chronic myelogenous leukemia	14657955
BCR	ABL1	Chronic myeloid leukemia	14635607
BCR	ABL1	Chronic myelogenous leukemia	14635208
BCR	ABL1	Chronic myelogenous leukemia	14625174
BCR	ABL1	chronic myelogenous leukemia	14575547
BCR	ABL1	chronic myeloid leukemia 	14505550
BCR	ABL1	"chronic myelogenous leukemia(CML), mediastinal tumor"	12196931
BCR	ABL1	"acute lymphoblastic leukemia(ALL), chronic myeloid leukemia (CML), biphenotypic leukemia"	12194684
BCR	ABL1	leukemic cells 	12173041
BCR	ABL1	chronic myeloid leukemia	12114534
BCR	ABL1	chronic myeloid leukaemia (CML)	12067277
BCR	ABL1	"chronic myelogenous leukaemia(CML), Ewing's sarcoma"	12028029
BCR	ABL1	chronic myeloid leukaemia(CML)	12023981
BCR	ABL1	chronic neutrophilic leukemia and multiple myeloma (IgG kappa)	12002774
BCR	ABL1	chronic myeloid leukaemia	11919387
BCR	ABL1	"chronic granulocytic leukaemiam, chronic myeloid leukaemias, acute myeloid leukaemia"	11919386
BCR	ABL1	chronic myeloid leukemia (CML)	11905088
BCR	ABL1	"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL), acute myeloid leukemia(AML), myeloproliferative disorder (MPD)"	11904740
BCR	ABL1	"erythroleukemia, chronic myeloid leukemia (CML)"	11876951
BCR	ABL1	Chronic myeloid leukemia(CML)	11852587
BCR	ABL1	chronic myeloid leukaemia (CML)	11841409
BCR	ABL1	"chronic myeloid leukemia (CML), acute lymphoblastic leukemia(APL)"	11831067
BCR	ABL1	chronic myeloid leukemia(CML)	11783955
BCR	ABL1	"chronic myeloid leukemia(CML), acute lymphoblastic leukemia (ALL)"	11766335
BCR	ABL1	Chronic myelogenous leukemia(CML)	11766332
BCR	ABL1	Chronic myeloid leukemia (CML)	11754648
BCR	ABL1	acute leukemia	11734316
BCR	ABL1	Chronic myeloid leukemia (CML)	11708318
BCR	ABL1	chronic myeloid leukemia (CML)	11697648
BCR	ABL1	Philadelphiapositive chronic myelogenous leukemia 	11684281
BCR	ABL1	chronic myelogenous leukemia(CML)	11672777
BCR	ABL1	chronic myelogenous leukemia(CML)	11640869
BCR	ABL1	"chronic myelogenous leukemia(CML), acute lymphoblastic leukemia(ALL)"	11607816
BCR	ABL1	adult acute lymphoblastic leukemia(ALL)	11601203
BCR	ABL1	Chronic Myeloid Leukemia (CML)	11574931
BCR	ABL1	Chronic myeloid leukemia (CML)	11535505
BCR	ABL1	Chronic myelogenous leukemia (CML)	11504279
BCR	ABL1	Chronic myeloid leukaemia (CML)	11409908
BCR	ABL1	Philadelphia chromosome (Ph) positive Chronic myeloid leukaemia (CML)	11378554
BCR	ABL1	chronic myeloid leukemia(CML)	11369063
BCR	ABL1	"chronic myelogenous leukemia (CML), acute lymphoblastic leukemia (ALL)"	11358387
BCR	ABL1	chronic myelogenous leukemia (CML)	11341993
BCR	ABL1	chronic myeloid leukemia(CML)	11284030
BCR	ABL1	chronic myeloid leukemia (CML)	11255271
BCR	ABL1	chronic myeloid leukemia(CML)	11237066
BCR	ABL1	chronic myelogenous leukemia(CML)	11154991
BCR	ABL1	chronic myelogenous leukemia (CML)	11130241
BCR	ABL1	Chronic Myeloid Leukaemia (CML)	11126203
BCR	ABL1	chronic myeloid leukemia (CML)	11114705
BCR	ABL1	chronic myeloid leukemia (CML)	11114130
BCR	ABL1	Chronic myelogenous leukaemia (CML)	11091204
BCR	ABL1	Chronic myeloid leukemia (CML)	11072027
BCR	ABL1	chronic myeloid leukemia(CML)	11036109
BCR	ABL1	chronic myeloid leukemia(CML)	11028176
BCR	ABL1	chronic myeloid leukemia(CML)	10998848
BCR	ABL1	chronic myelogenous leukemia (CML)	10965782
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10947902
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10931454
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10905245
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10822991
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10794714
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10751535
BCR	ABL1	chronic granulocytic leukemia	10731584
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10674911
BCR	ABL1		10674025
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10648600
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10648381
BCR	ABL1	acute lymphoblastic leukemia (ALL)	10640143
BCR	ABL1	"Philadelphia chromosomenegative (Ph()) nonHodgkin's lymphomas (NHLs), Phpositive (Ph(+)) chronic myelogenous leukemia (CML)"	10637493
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10632353
BCR	ABL1	Chronic myelogeneous leukaemia (CML)	10629589
BCR	ABL1	chronic myeloid leukemia (CML)	10627442
BCR	ABL1	"acute lymphoblastic leukemia (ALL), Chronic myelogeneous leukaemia (CML)"	10624128
BCR	ABL1	chronic myeloid leukemia (CML)	10616282
BCR	ABL1	"PreB acute lymphoblastic leukemia(ALL), positive chronic myelogenous leukemia (CML)"	10602422
BCR	ABL1	chronic myeloid leukemia (CML)	10549264
BCR	ABL1	chronic myeloid leukemia	10526530
BCR	ABL1	chronic myeloid leukemia (CML)	10500825
BCR	ABL1	chronic myeloid leukemia (CML)	10459357
BCR	ABL1	Chronic myelogenous leukemia (CML)	10431169
BCR	ABL1	chronic myeloid leukemia (CML)	10214860
BCR	ABL1	chronic myelogenous leukemia (CML)	10068681
BCR	ABL1	"chronic myeloid leukemia, acute lymphoblastic leukemia"	9923858
BCR	ABL1	chronic myelogenous leukaemia (CML)	9858233
BCR	ABL1	chronic myeloid leukemia	9809034
BCR	ABL1	chronic myeloid leukemia (CML)	9665193
BCR	ABL1	chronic myelogenous leukemia	9593785
BCR	ABL1	chronic myelogenous leukemia (CML)	9494617
BCR	ABL1	chronic myeloid leukemia	9331565
BCR	ABL1	Chronic myeloid leukemia	9269756
BCR	ABL1	Chronic myeloid leukemia (CML)	9207464
BCR	ABL1	chronic myelogenous leukaemia (CML)	9376661
BCR	ABL1	chronic myeloid leukemia (CML)	9168433
BCR	ABL1	chronic myelogenous leukemia (CML)	9067577
BCR	ABL1	chronic myeloid leukemia (CML)	8896419
BCR	ABL1	chronic myelogenous leukemia	8822944
BCR	ABL1	chronic myeloid leukemia	8697426
BCR	ABL1	chronic myeloid leukaemia (CML)	8807132
BCR	ABL1	chronic myeloid leukaemia (CML)	8659451
BCR	ABL1	chronic myeloid leukaemia (CML)	8649049
BCR	ABL1	chronic myeloid leukemia (CML)	8685681
BCR	ABL1	chronic myeloid leukemia (CML)	8767524
BCR	ABL1	Chronic myelogenous leukemia (CML) acute lymphoblastic leukemias (ALL)	8632906
BCR	ABL1	Philadelphia positive leukaemia	8932497
BCR	ABL1	Chronic myelogenous leukemia (CML) 	8607028
BCR	ABL1	Chronic myelogenous leukemia (CML) 	8562932
BCR	ABL1	Chronic myeloid leukemia (CML) 	8734143
BCR	ABL1	Chronic myelogenous leukemia (CML) 	8747994
BCR	ABL1	Chronic myelogenous leukemia (CML) 	7662984
BCR	ABL1	Chronic myelogenous leukemia (CML) 	7564157
BCR	ABL1	chronic myelogenous leukemia (CML)	7600533
BCR	ABL1	acute undifferentiated leukemia (AUL)	7596151
BCR	ABL1		7769849
BCR	ABL1		7665185
BCR	ABL1	chronic myelogenous leukemia (CML)	7718886
BCR	ABL1	chronic myelogenous leukemia (CML)	7723412
BCR	ABL1	chronic myelogenous leukemia (CML)	7599321
BCR	ABL1	chronic myelogenous leukemia (CML)	7885040
BCR	ABL1	chronic myelogenous leukemia (CML)	8629106
BCR	ABL1	chronic myelogenous leukemia (CML)	7845006
BCR	ABL1	chronic myelogenous leukemia (CML)	7703041
BCR	ABL1	chronic myelogenous leukemia (CML)	7996873
BCR	ABL1	chronic myelogenous leukemia (CML)	7866899
BCR	ABL1	chronic myelogenous leukemia (CML)	7938018
BCR	ABL1	acute B lymphocytic leukemia	8062887
BCR	ABL1	Chronic myelogenous leukemia (CML)	8025286
BCR	ABL1	chronic myelogenous leukaemia (CML)	8035612
BCR	ABL1	Tcell acute lymphoblastic leukemia (TALL)	8035604
BCR	ABL1	chronic myelogenous leukaemia (CML)	8207957
BCR	ABL1	chronic myelogenous leukemia (CML)	8061892
BCR	ABL1	Philadelphianegative chronic myeloid leukaemia	7947289
BCR	ABL1	chronic myelogenous leukemia	7937723
BCR	ABL1	acute nonlymphocytic leukaemia (ANLL)	7524618
BCR	ABL1	chronic myeloid leukemia	7701917
BCR	ABL1	chronic myeloid leukaemia (CML)	8414522
BCR	ABL1	chronic myeloid leukaemia (CML)	8231240
BCR	ABL1	chronic myeloid leukemia (CML)	8165000
BCR	ABL1	acute lymphoblastic leukemia	1467514
BCR	ABL1	chronic myelogenous leukemia	3312834
BCR	ABL1	"chronic myelocytic leukaemia, acute lymphoblastic leukaemia"	3027581
BCR	ABL1	chronic myeloid leukaemia	3107980
BCR	ABL1	chronic myelogenous leukemia	3460176
BCR	ABL1	chronic myelogenous leukemia(CML)	16254181
BCR	ABL1		18708370
BCR	ABL1		19157547
BCR	ABL1		18417213
BCR	ABL1	Acute lymphoblastic leukemia (ALL)	17701954
BCR	ABL1	chronic myelogenous leukemia (CML)	17696194
BCR	ABL1	B cell precursor leukemia cells	15254401
BCR	ABL1	chronic myeloid leukemias (CML)	11836164
BCR	ABL1	Philadelphia (Ph)positive acute lymphoblastic leukemia (ALL)	11801308
BCR	ABL1	"acute lymphoblastic leukemia (ALL), Chronic myelogeneous leukaemia (CML)"	10615128
BCR	ABL1	leukemogenesis	10576511
BCR	ABL1	K562	18438408
BCR	ABL1	Acute leukaemia	9087799
BCR	JAK2	Chronic myeloid leukemia (CML)	16001431
BCR	PDGFRA	atypical chronic myeloid leukemia	15034867
DEPDC1B	FUNDC2	MCF7	17568001
BRD4	C15ORF55		16435379
BRD4	C15ORF55	metastatic lung cancer	15994877
BRD4	C15ORF55	lethal carcinoma	15483023
BRD4	C15ORF55	"Poorly differentiated carcinoma affecting midline structures in children and adolescents, very poor prognosis"	17361217
C15ORF21	ETV1		17671502
C15ORF21	ETV1		18172298
C19ORF25	SLC25A23	LNCaP	18438408
CACNA2D4	WDR43		19136943
SNAP91	MLLT10		17804713
SNAP91	MLLT10	AML	17329976
SNAP91	MLLT10	"Tcell acute lymphoblastic leukaemia (TALL), acute myeloid leukaemia (AML)"	16921363
SNAP91	MLLT10	"acute eosinophilic leukemia, acute Tcell lymphoblastic leukemia"	11106826
CALR	EIF2B4	HCT116	17568001
CARS	ALK	Inflammatory myofibroblastic tumour	17361217
CBFB	MYH11	acute myelomonocytic leukemia(M4)	10921098
RUNX1	RUNX1T1	acute myeloid leukemia with eosinophilia 	12691161
CBFB	MYH11	acute myeloid leukemia (AML)	17052753
CBFB	MYH11	core binding factor [CBF] leukemias	14645432
CBFB	MYH11	acute myeloid leukemia	12239155
CBFB	MYH11	acute myeloid leukemia	11920247
CBFB	MYH11	acute myeloid leukemia	9156661
CBFB	MYH11	leukemia	8751466
CBFB	MYH11	acute myeloid leukemia (AML)	8818654
CBFB	MYH11		8585960
CBFB	MYH11	acute myelogenous leukemia(AML)	7577615
CBFB	MYH11		17361217
CBFB	MYH11	acute myelomonocytic leukemia (M4)	15631653
CBFB	MYH11	Acute myeloid leukaemia (AML)	15606546
CBFB	MYH11	acute myeloid leukemia	15269306
CBFB	MYH11		14559688
CBFB	MYH11	Granulocytic sarcoma	12859999
CBFB	MYH11	acute myeloid leukemia	12745661
CBFB	MYH11	"minimal residual disease (MRD), acute myeloid leukemia (AML), complete remission (CR)"	12040450
CBFB	MYH11	acute myeloid leukemia (AML)	9490670
CCND1	IGH@	mantle cell lymphoma	15098257
CCND1	IGH@	mantle cell lymphoma (MCL)	11793447
CCND3	IGH@	"diffuse large Bcell lymphoma(DLBCL), splenic lymphoma with villous lymphocytes (SLVL)"	11675358
NOD2	UPRT	"syngeneic lymphoma ,mammary carcinoma "	14678998
CD74	ROS1	Lung Cancer	18083107
CD99	EWSR1	smallcell osteosarcoma of the scapula	15188147
CD99	FLII	smallcell osteosarcoma of the scapula	15188147
CDH11	USP6	aneurysmal bone cyst	15026324
TRIP11	PDGFRB	acute myelogenous leukemia	9373237
